id,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,species
1,5.1,3.5,1.4,0.2,0,setosa
2,4.9,3.0,1.4,0.2,0,setosa
3,4.7,3.2,1.3,0.2,0,setosa
4,4.6,3.1,1.5,0.2,0,setosa
5,5.0,3.6,1.4,0.2,0,setosa
6,,3.9,1.7,0.4,0,setosa
7,4.6,3.4,1.4,0.3,0,setosa
8,5.0,3.4,1.5,0.2,0,setosa
9,4.4,2.9,1.4,0.2,0,setosa
10,4.9,3.1,1.5,0.1,0,setosa
11,,,1.5,0.2,0,setosa
12,4.8,3.4,1.6,0.2,0,setosa
13,4.8,3.0,1.4,0.1,0,setosa
14,4.3,3.0,1.1,0.1,0,setosa
15,5.8,4.0,1.2,0.2,0,setosa
16,5.7,4.4,1.5,0.4,0,setosa
17,5.4,3.9,1.3,0.4,0,setosa
18,5.1,3.5,1.4,0.3,0,setosa
19,5.7,3.8,1.7,0.3,0,setosa
20,5.1,3.8,1.5,0.3,0,setosa
21,5.4,3.4,1.7,0.2,0,setosa
22,5.1,3.7,1.5,0.4,0,setosa
23,4.6,3.6,1.0,0.2,0,setosa
24,5.1,3.3,1.7,0.5,0,setosa
25,4.8,3.4,1.9,0.2,0,setosa
26,5.0,3.0,1.6,0.2,0,setosa
27,,3.4,1.6,0.4,0,setosa
28,5.2,3.5,1.5,0.2,0,setosa
29,5.2,3.4,1.4,0.2,0,setosa
30,4.7,3.2,1.6,0.2,0,setosa
31,4.8,3.1,1.6,0.2,0,setosa
32,5.4,3.4,1.5,0.4,0,setosa
33,5.2,4.1,1.5,0.1,0,setosa
34,5.5,4.2,1.4,0.2,0,setosa
35,4.9,3.1,1.5,0.2,0,setosa
36,5.0,3.2,1.2,0.2,0,setosa
37,5.5,3.5,1.3,0.2,0,setosa
38,4.9,3.6,1.4,0.1,0,setosa
39,4.4,3.0,1.3,0.2,0,setosa
40,5.1,3.4,1.5,0.2,0,setosa
41,5.0,3.5,1.3,0.3,0,setosa
42,4.5,2.3,1.3,0.3,0,setosa
43,4.4,3.2,1.3,0.2,0,setosa
44,5.0,3.5,1.6,0.6,0,setosa
45,5.1,3.8,1.9,0.4,0,setosa
46,4.8,3.0,1.4,0.3,0,setosa
47,,3.8,1.6,0.2,0,setosa
48,4.6,3.2,1.4,0.2,0,setosa
49,5.3,3.7,1.5,0.2,0,setosa
50,5.0,,1.4,0.2,0,setosa
51,7.0,3.2,4.7,1.4,1,versicolor
52,6.4,3.2,4.5,1.5,1,versicolor
53,6.9,3.1,4.9,1.5,1,versicolor
54,5.5,2.3,4.0,1.3,1,versicolor
55,,2.8,4.6,1.5,1,versicolor
56,5.7,2.8,4.5,1.3,1,versicolor
57,6.3,3.3,4.7,1.6,1,versicolor
58,4.9,2.4,3.3,1.0,1,versicolor
59,6.6,2.9,4.6,1.3,1,versicolor
60,5.2,2.7,3.9,1.4,1,versicolor
61,5.0,2.0,3.5,1.0,1,versicolor
62,,3.0,4.2,1.5,1,versicolor
63,6.0,2.2,4.0,1.0,1,versicolor
64,6.1,2.9,4.7,1.4,1,versicolor
65,5.6,2.9,3.6,1.3,1,versicolor
66,6.7,3.1,4.4,1.4,1,versicolor
67,5.6,3.0,4.5,1.5,1,versicolor
68,5.8,2.7,4.1,1.0,1,versicolor
69,6.2,2.2,4.5,1.5,1,versicolor
70,5.6,2.5,3.9,1.1,1,versicolor
71,5.9,3.2,4.8,1.8,1,versicolor
72,6.1,2.8,4.0,1.3,1,versicolor
73,6.3,2.5,4.9,1.5,1,versicolor
74,6.1,2.8,4.7,1.2,1,versicolor
75,6.4,2.9,4.3,1.3,1,versicolor
76,,3.0,4.4,1.4,1,versicolor
77,6.8,2.8,4.8,1.4,1,versicolor
78,6.7,3.0,5.0,1.7,1,versicolor
79,6.0,2.9,4.5,1.5,1,versicolor
80,5.7,2.6,3.5,1.0,1,versicolor
81,5.5,2.4,3.8,1.1,1,versicolor
82,5.5,2.4,3.7,1.0,1,versicolor
83,5.8,2.7,3.9,1.2,1,versicolor
84,6.0,2.7,5.1,1.6,1,versicolor
85,5.4,3.0,4.5,1.5,1,versicolor
86,6.0,3.4,4.5,1.6,1,versicolor
87,6.7,3.1,4.7,1.5,1,versicolor
88,6.3,2.3,4.4,1.3,1,versicolor
89,5.6,3.0,4.1,1.3,1,versicolor
90,5.5,2.5,4.0,1.3,1,versicolor
91,5.5,2.6,4.4,1.2,1,versicolor
92,6.1,3.0,4.6,1.4,1,versicolor
93,5.8,2.6,4.0,1.2,1,versicolor
94,5.0,,3.3,1.0,1,versicolor
95,5.6,2.7,4.2,1.3,1,versicolor
