id,customer_id,age,gender,income,education,marital_status,children,credit_score,purchase_frequency,avg_purchase_amount,days_since_last_purchase,total_purchases,returns_count,satisfaction_score,churned
1,1,52,女性,34827.54366573205,専門学校,独身,1,669.2560234532626,0.9203239623199939,2541.089647570449,70.88578634609264,19,0,3.9069622609172785,False
2,2,42,男性,26192.915120937298,大学院,離婚,1,764.4759611452297,3.5898697904818238,3346.4050229806094,21.785476044103007,16,3,4.777328942993167,True
3,3,54,女性,36279.388712573236,専門学校,離婚,1,555.9539710214243,3.3410516028677923,3374.1346473917406,5.008189256372294,18,5,3.442993979817238,False
4,4,67,男性,5176.437259631672,大学院,離婚,0,653.4624738759246,4.905367116581393,2730.1548693535733,76.42645020085676,26,1,3.863400062107244,False
5,5,41,男性,62579.144860624205,大学院,既婚,1,787.004366117099,14.611191176855813,1358.6601896592695,42.49877852591934,22,3,4.0478789783886135,False
6,6,41,女性,20541.5549869722,専門学校,既婚,0,486.7122161509628,4.334782647202849,2024.0245945936686,39.4700752225469,20,1,2.051257098211767,False
7,7,68,男性,38333.95777659277,大学,独身,0,673.5317961439099,3.8850061008037162,3589.9971100558596,37.05159539802382,23,1,1.1809185236808597,False
8,8,56,女性,,大学院,離婚,1,595.9896906401216,0.2581664079077831,1573.013681596591,6.707052537834044,11,2,1.0074909756766743,False
9,9,37,男性,29923.127415087292,短大,既婚,1,662.4156590971303,0.32486628353639413,4252.465897808969,7.1099231827153835,23,0,2.4025971318160746,False
10,10,53,女性,13007.640810184801,大学,既婚,1,720.9784290583688,1.03725409016712,4067.757640551987,34.97074889772738,19,2,1.9658569127968644,False
11,11,38,女性,16124.828720968164,専門学校,既婚,0,672.0808507888091,0.1650482219839466,3017.9374533591767,7.443179216368952,20,2,1.2492709001967426,False
12,12,38,男性,57355.02146327884,大学,既婚,1,548.9777597888145,6.800266361068422,3566.640196700764,17.323480018160616,20,1,1.718113169974667,True
13,13,48,女性,20023.438665198617,高校,既婚,1,599.8753861766521,6.424654587500687,3493.4057659081755,45.69805771536742,17,4,1.4979955930717912,False
14,14,16,男性,24556.12116064593,高校,離婚,1,792.6592980324466,0.7312379922200576,2878.250897830974,45.96771215503612,25,5,4.6595135224694815,False
15,15,19,男性,34031.22843198768,大学院,離婚,0,682.8932893924098,9.041850346675423,1974.0316725511118,18.113554544491866,24,2,1.5610688538366757,False
16,16,36,男性,28221.544200561264,大学院,離婚,0,734.0319127584849,0.8408273523907364,3984.558890072948,47.13392343763823,14,1,3.1505938559507167,False
17,17,29,女性,23746.95171947688,短大,離婚,0,675.0295310183043,1.7917788286239884,4546.754694103331,54.72013730589771,19,2,3.3724238204486583,False
18,18,49,女性,26435.960468765785,大学,独身,1,730.9116068241921,1.4315943379318878,2074.3908902983003,31.906832304880673,18,3,3.173957830834535,False
